"Search Key","Name","Description","Account Type","Account Sign","Document Controlled","Summary Level","Default Account","Parent_Value","Element Level","Operands","Show Value Condition","Title Node"
2943,"Deterioro de valor de valores representativos de deuda a largo plazo de empresas del grupo","Deterioro de valor de valores representativos de deuda a largo plazo de empresas del grupo","Asset","Debit","N","Y",,"294A","D",,"Algebraic","N"
29430,"Deterioro de valor de valores representativos de deuda a largo plazo de empresas del grupo","Deterioro de valor de valores representativos de deuda a largo plazo de empresas del grupo","Asset","Debit","N","N",,2943,"S",,"Algebraic","N"
2944,"Deterioro de valor de valores representativos de deuda a largo plazo de empresas asociadas","Deterioro de valor de valores representativos de deuda a largo plazo de empresas asociadas","Asset","Debit","N","Y",,"294A","D",,"Algebraic","N"
29440,"Deterioro de valor de valores representativos de deuda a largo plazo de empresas asociadas","Deterioro de valor de valores representativos de deuda a largo plazo de empresas asociadas","Asset","Debit","N","N",,2944,"S",,"Algebraic","N"
"A.A.IV.4","4. DERIVADOS","4. DERIVADOS","Asset","Debit","N","Y",,"A.A.IV","E",,"Algebraic","N"
"A.A.IV.5","5. OTROS ACTIVOS FINANCIEROS","5. OTROS ACTIVOS FINANCIEROS","Asset","Debit","N","Y",,"A.A.IV","E",,"Algebraic","N"
"A.A.IV.6","6. OTRAS INVERSIONES","6. OTRAS INVERSIONES","Asset","Debit","N","Y",,"A.A.IV","E",,"Algebraic","N"
"A.A.V","V. INVERSIONES FINANCIERAS A LARGO PLAZO","V. INVERSIONES FINANCIERAS A LARGO PLAZO","Asset","Debit","N","Y",,"A.A","E",,"Algebraic","N"
"A.A.V.1","1. INSTRUMENTOS DE PATRIMONIO","1. INSTRUMENTOS DE PATRIMONIO","Asset","Debit","N","Y",,"A.A.V","E",,"Algebraic","N"
"240B","Participaciones a largo plazo en partes vinculadas","Participaciones a largo plazo en partes vinculadas","Asset","Debit","N","Y",,"A.A.V.1","C",,"Algebraic","N"
2405,"Participaciones a largo plazo en otras partes vinculadas","Participaciones a largo plazo en otras partes vinculadas","Asset","Debit","N","Y",,"240B","D",,"Algebraic","N"
24050,"Participaciones a largo plazo en otras partes vinculadas","Participaciones a largo plazo en otras partes vinculadas","Asset","Debit","N","N",,2405,"S",,"Algebraic","N"
"249B","Desembolsos pendientes sobre participaciones a largo plazo en partes vinculadas","Desembolsos pendientes sobre participaciones a largo plazo en partes vinculadas","Asset","Debit","N","Y",,"A.A.V.1","C",,"Algebraic","N"
2495,"Desembolsos pendientes sobre participaciones a largo plazo en otras partes vinculadas","Desembolsos pendientes sobre participaciones a largo plazo en otras partes vinculadas","Asset","Debit","N","Y",,"249B","D",,"Algebraic","N"
24950,"Desembolsos pendientes sobre participaciones a largo plazo en otras partes vinculadas","Desembolsos pendientes sobre participaciones a largo plazo en otras partes vinculadas","Asset","Debit","N","N",,2495,"S",,"Algebraic","N"
250,"Inversiones financieras a largo plazo en instrumentos de patrimonio","Inversiones financieras a largo plazo en instrumentos de patrimonio","Asset","Debit","N","Y",,"A.A.V.1","C",,"Algebraic","N"
2500,"Inversiones financieras a largo plazo en instrumentos de patrimonio","Inversiones financieras a largo plazo en instrumentos de patrimonio","Asset","Debit","N","Y",,250,"D",,"Algebraic","N"
25000,"Inversiones financieras a largo plazo en instrumentos de patrimonio","Inversiones financieras a largo plazo en instrumentos de patrimonio","Asset","Debit","N","N",,2500,"S",,"Algebraic","N"
259,"Desembolsos pendientes sobre participaciones en el patrimonio neto a largo plazo","Desembolsos pendientes sobre participaciones en el patrimonio neto a largo plazo","Asset","Debit","N","Y",,"A.A.V.1","C",,"Algebraic","N"
2590,"Desembolsos pendientes sobre participaciones en el patrimonio neto a largo plazo","Desembolsos pendientes sobre participaciones en el patrimonio neto a largo plazo","Asset","Debit","N","Y",,259,"D",,"Algebraic","N"
25900,"Desembolsos pendientes sobre participaciones en el patrimonio neto a largo plazo","Desembolsos pendientes sobre participaciones en el patrimonio neto a largo plazo","Asset","Debit","N","N",,2590,"S",,"Algebraic","N"
